sys_sample_code,data_provider,sample_name,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.x,sample_type_desc,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.y,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,standard_chemical_name
694592-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008265,2020-09-11T06:38:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E300.0,2020-09-11T06:38:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),2.1,NA,SC,Yes,Y,NA,NA,NA,NA,0.05,NA,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,chloride_as-cl
694592-mb1,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008265,2020-09-11T06:03:00Z,Method Blank,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E300.0,2020-09-11T06:03:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,chloride_as-cl
694728-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008238,2020-09-11T19:27:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E300.0,2020-09-11T19:27:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),2.04,NA,SC,Yes,Y,NA,NA,NA,NA,0.05,NA,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,chloride_as-cl
694728-mb1,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008238,2020-09-11T19:22:00Z,Method Blank,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E300.0,2020-09-11T19:22:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,chloride_as-cl
694729-lcs2,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008265,2020-09-11T21:40:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E300.0,2020-09-11T21:40:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-LCS2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),2.06,NA,SC,Yes,Y,NA,NA,NA,NA,0.05,NA,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,chloride_as-cl
694729-lcs2,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008265,2020-09-11T21:40:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E300.0,2020-09-11T21:40:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-LCS2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),2.06,NA,SC,Yes,Y,NA,NA,NA,NA,0.05,NA,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,chloride_as-cl
694729-lcs2,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008238,2020-09-11T21:40:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E300.0,2020-09-11T21:40:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-LCS2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),2.06,NA,SC,Yes,Y,NA,NA,NA,NA,0.05,NA,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,chloride_as-cl
694729-lcs2,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008238,2020-09-11T21:40:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E300.0,2020-09-11T21:40:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-LCS2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),2.06,NA,SC,Yes,Y,NA,NA,NA,NA,0.05,NA,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,chloride_as-cl
694729-mb2,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008238,2020-09-11T21:35:00Z,Method Blank,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E300.0,2020-09-11T21:35:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-MB2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,chloride_as-cl
694729-mb2,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008238,2020-09-11T21:35:00Z,Method Blank,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E300.0,2020-09-11T21:35:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-MB2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,chloride_as-cl
694729-mb2,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008265,2020-09-11T21:35:00Z,Method Blank,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E300.0,2020-09-11T21:35:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-MB2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,chloride_as-cl
694729-mb2,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008265,2020-09-11T21:35:00Z,Method Blank,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E300.0,2020-09-11T21:35:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-MB2,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),NA,NA,TRG,Yes,N,U,NA,U,NA,0.05,0.05,0.2,mg/l,mg/l,NA,0.05,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,chloride_as-cl
694789-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008265,2020-09-10T01:25:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E353.2,2020-09-10T01:25:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.26,NA,SC,Yes,Y,NA,NA,NA,NA,0.007,NA,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,nitrite_nitrogen
694789-mb1,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008265,2020-09-10T01:25:00Z,Method Blank,NA,NA,NA,NA,NA,NA,090720FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E353.2,2020-09-10T01:25:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008265-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008265,nitrite_nitrogen
694792-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008232,2020-09-09T01:26:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E353.2,2020-09-09T01:26:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008232-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.255,NA,SC,Yes,Y,NA,NA,NA,NA,0.007,NA,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,NA,NA,0.25,0.255,102,NA,NA,NA,NA,NA,90,110,NA,NA,NA,NA,R2008232,nitrite_nitrogen
694792-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008232,2020-09-09T01:26:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E353.2,2020-09-09T01:26:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.255,NA,SC,Yes,Y,NA,NA,NA,NA,0.007,NA,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,nitrite_nitrogen
694792-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008238,2020-09-09T01:26:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E353.2,2020-09-09T01:26:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008232-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.255,NA,SC,Yes,Y,NA,NA,NA,NA,0.007,NA,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,NA,NA,0.25,0.255,102,NA,NA,NA,NA,NA,90,110,NA,NA,NA,NA,R2008232,nitrite_nitrogen
694792-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008238,2020-09-09T01:26:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E353.2,2020-09-09T01:26:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",0.255,NA,SC,Yes,Y,NA,NA,NA,NA,0.007,NA,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,nitrite_nitrogen
694792-mb1,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008238,2020-09-09T01:25:00Z,Method Blank,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E353.2,2020-09-09T01:25:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008232-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008232,nitrite_nitrogen
694792-mb1,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008238,2020-09-09T01:25:00Z,Method Blank,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E353.2,2020-09-09T01:25:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,nitrite_nitrogen
694792-mb1,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008232,2020-09-09T01:25:00Z,Method Blank,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E353.2,2020-09-09T01:25:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008232-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008232,nitrite_nitrogen
694792-mb1,ALSRNY,Method Blank,WQ,LB,Lab,NA,R2008232,2020-09-09T01:25:00Z,Method Blank,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_blank,E353.2,2020-09-09T01:25:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008238-MB1,NA,10,mL,NA,NA,NA,NA,10,mL,14797-65-0,"NITROGEN, NITRITE",NA,NA,TRG,Yes,N,U,NA,U,NA,0.007,0.007,0.01,mg/l,mg/l,NA,0.007,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2008238,nitrite_nitrogen
694811-lcs1,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2008016,2020-09-13T17:18:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,083120FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E350.1,2020-09-13T17:18:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2008016-LCS1,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.1,NA,SC,Yes,Y,NA,NA,NA,NA,0.003,NA,0.01,mg/l,mg/l,NA,0.003,NA,NA,NA,NA,NA,NA,0.1,0.1,100,NA,NA,NA,NA,NA,70,130,NA,NA,NA,NA,R2008016,ammonia_nitrogen_as-n
694811-lcs3,ALSRNY,Lab Control Sample,WQ,BS,Lab,NA,R2007842,2020-09-13T17:18:00Z,Lab Control Sample,NA,NA,NA,NA,NA,NA,082420FLW,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA,lab_control,E350.1,2020-09-13T17:18:00Z,T,NA,initial,WQ,LB,NA,NA,1,NA,NA,NA,NA,ALSRNY,quant,R2007842-LCS3,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.1,NA,SC,Yes,Y,NA,NA,NA,NA,0.003,NA,0.01,mg/l,mg/l,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2007842,ammonia_nitrogen_as-n
