"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.x","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg","X.data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.y"
"13-MASO-2.8-08142018-W","D6919-09","09/09/2018 05:42:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0431,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W","Calculation","08/15/2018 21:19:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-003",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",0.188,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W","E353.2","09/06/2018 17:23:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.188,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W","E353.2","08/15/2018 21:19:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-003",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.007,0.007,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W","Calculation","09/05/2018 12:29:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","09/04/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807825-003",NA,0,"mL",NA,NA,NA,NA,NA,"","KN","Nitrogen",1.09,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.1,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W","E351.2","09/05/2018 12:29:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","09/04/2018 16:49:00",NA,NA,"ALSRNY","quant","R1807825-003",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.91,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W","E365.1","08/29/2018 14:03:00",TRUE,NA,"initial","WS","LB",NA,NA,10,"METHOD","08/28/2018 12:50:00",NA,NA,"ALSRNY","quant","R1807825-003",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.208,NA,"TRG","Yes","Y","",NA,"",NA,0.02,NA,0.05,"mg/l","mg/l",NA,0.02,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W","E180.1","08/16/2018 11:40:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-003",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",11.8,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","D6919-09","09/09/2018 05:26:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,8e-04,8e-04,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","Calculation","08/15/2018 21:17:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-002",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,NA,0.01,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","E353.2","09/06/2018 17:21:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",NA,NA,"TRG","Yes","N","U",NA,"U",NA,7e-04,7e-04,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","E353.2","08/15/2018 21:17:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-002",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.007,0.007,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","Calculation","09/05/2018 12:27:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","09/04/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807825-002",NA,0,"mL",NA,NA,NA,NA,NA,"","KN","Nitrogen",NA,NA,"TRG","Yes","N","U",NA,"U",NA,NA,0.1,0.1,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","E351.2","09/05/2018 12:27:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","09/04/2018 16:49:00",NA,NA,"ALSRNY","quant","R1807825-002",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.08,0.08,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","E365.1","08/29/2018 12:56:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","08/28/2018 12:50:00",NA,NA,"ALSRNY","quant","R1807825-002",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.002,0.002,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EB","E180.1","08/16/2018 11:40:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-002",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",0.22,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EBMS","E353.2","08/15/2018 21:17:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-002MS",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.026,NA,"SC","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",0,0.25,0.026,10,NA,NA,NA,NA,"",75,125,20,"*","",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","MS","Lab","13-MASO-2.8-08142018-W-EB","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-MASO-2.8-08142018-W-EBMSD","E353.2","08/15/2018 21:17:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-002DMS",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.027,NA,"SC","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",NA,NA,NA,NA,0,0.25,0.027,11,"2",75,125,20,"*","*",NA,"R1807825","ALSRNY","13-MASO-2.8-08142018-W-EB","WS","SD","Lab","13-MASO-2.8-08142018-W-EB","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","D6919-09","09/09/2018 08:06:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-009",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0705,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","Calculation","08/16/2018 17:14:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-009",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",0.129,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","E353.2","09/06/2018 17:31:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-009",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.129,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","E353.2","08/16/2018 17:14:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-009",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.007,0.007,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","Calculation","09/05/2018 12:33:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","09/04/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807825-009",NA,0,"mL",NA,NA,NA,NA,NA,"","KN","Nitrogen",0.84,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.1,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","E351.2","09/05/2018 12:33:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","09/04/2018 16:49:00",NA,NA,"ALSRNY","quant","R1807825-009",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.71,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","E365.1","08/29/2018 13:04:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","08/28/2018 12:50:00",NA,NA,"ALSRNY","quant","R1807825-009",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0729,NA,"TRG","Yes","Y","",NA,"",NA,0.002,NA,0.005,"mg/l","mg/l",NA,0.002,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-PKIL-5.7-08152018-W","E180.1","08/16/2018 13:30:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-009",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",4.58,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-PKIL-5.7-08152018-W","WS","N","Field","","R1807825","08/15/2018 11:00:00","Unknown",NA,NA,NA,NA,NA,"08/16/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","D6919-09","09/09/2018 06:14:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.0801,NA,"TRG","Yes","Y","",NA,"",NA,8e-04,NA,0.005,"mg/l","mg/l",NA,8e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","Calculation","08/15/2018 21:20:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-005",NA,0,"mL",NA,NA,NA,NA,NA,"","14797-55-8","NITROGEN, NITRATE (AS N)",0.676,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.01,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","E353.2","09/06/2018 17:26:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","NO3NO2N","Nitrate+Nitrite as Nitrogen",0.693,NA,"TRG","Yes","Y","",NA,"",NA,7e-04,NA,0.002,"mg/l","mg/l",NA,7e-04,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","E353.2","08/15/2018 21:20:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-005",NA,10,"mL",NA,NA,NA,NA,10,"mL","14797-65-0","NITROGEN, NITRITE",0.017,NA,"TRG","Yes","Y","",NA,"",NA,0.007,NA,0.01,"mg/l","mg/l",NA,0.007,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","Calculation","09/05/2018 12:30:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","09/04/2018 00:00:00",NA,NA,"ALSRNY","quant","R1807825-005",NA,0,"mL",NA,NA,NA,NA,NA,"","KN","Nitrogen",1.55,NA,"TRG","Yes","Y","",NA,"",NA,NA,NA,0.1,"mg/l","mg/l",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","E351.2","09/05/2018 12:30:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"METHOD","09/04/2018 16:49:00",NA,NA,"ALSRNY","quant","R1807825-005",NA,20,"mL",NA,NA,NA,NA,20,"mL","KN","NITROGEN, KJELDAHL, TOTAL",0.85,NA,"TRG","Yes","Y","",NA,"",NA,0.08,NA,0.1,"mg/l","mg/l",NA,0.08,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","E365.1","08/29/2018 14:04:00",TRUE,NA,"initial","WS","LB",NA,NA,5,"METHOD","08/28/2018 12:50:00",NA,NA,"ALSRNY","quant","R1807825-005",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.154,NA,"TRG","Yes","Y","",NA,"",NA,0.01,NA,0.025,"mg/l","mg/l",NA,0.01,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
"13-POCH-2.6-08142018-W","E180.1","08/16/2018 11:40:00",TRUE,NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1807825-005",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",8.67,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"R1807825","ALSRNY","13-POCH-2.6-08142018-W","WS","N","Field","","R1807825","08/14/2018 00:00:00","Unknown",NA,NA,NA,NA,NA,"08/15/2018",NA,"NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA
